Satellite_Name,Catalog_Number,Classification,International_Designator,Epoch_Year,Epoch_Day,First_Derivative_Mean_Motion,Second_Derivative_Mean_Motion,BSTAR_Drag_Term,Ephemeris_Type,Element_Set_Number,Checksum_Line1,Inclination_deg,RAAN_deg,Eccentricity,Argument_of_Perigee_deg,Mean_Anomaly_deg,Mean_Motion_rev_per_day,Revolution_Number,Checksum_Line2
IRIDIUM 33,24946,U,97051C,26,71.44519043,3.87e-06,0.0,0.00012867,0,999,8,86.3887,30.5417,0.0005827,287.8872,72.1689,14.35103608,49121,2
IRIDIUM 28,24948,U,97051E,26,71.59495338,5.24e-06,0.0,0.00016797,0,999,5,86.3983,28.5547,0.0001661,82.3795,277.7591,14.37641557,49240,5
IRIDIUM 36,24967,U,97056C,26,71.44658295,5.54e-06,0.0,0.00017725,0,999,3,86.392,60.2274,0.0001942,92.2617,267.8803,14.37875736,49076,3
IRIDIUM 39,25042,U,97069D,26,71.54600523,7.2e-06,0.0,0.00018142,0,999,3,86.3854,96.0923,0.0019516,125.6161,234.6865,14.49656175,48783,4
IRIDIUM 38,25043,U,97069E,26,71.58052411,4.52e-06,0.0,0.00014166000000000002,0,999,9,86.3941,120.3304,9.4e-05,36.9277,323.1986,14.38415977,48453,2
IRIDIUM 42,25077,U,97077A,26,71.57010406,3.97e-06,0.0,0.00012837000000000002,0,999,3,86.3961,126.8442,0.0001799,75.5214,284.6182,14.3662464,47972,9
IRIDIUM 44,25078,U,97077B,26,71.56372285,3.67e-06,0.0,0.00010925,0,999,2,86.3918,108.0386,0.0001651,146.302,213.8285,14.40513663,48233,6
IRIDIUM 45,25104,U,97082A,26,71.55647041,0.0002626,0.0,0.00063546,0,999,9,86.3481,276.2114,0.0089206,37.4097,323.3319,15.3683936,49304,0
IRIDIUM 24,25105,U,97082B,26,71.25555614,5.63e-06,0.0,0.00016425,0,999,3,86.3938,326.5908,0.0009214,273.9546,86.0601,14.42444314,48185,5
IRIDIUM 51,25262,U,98018A,26,71.59137701,0.02721188,-1.4189e-06,0.001229,0,999,6,86.3424,278.8642,0.0013857,268.7285,91.2426,16.21909946,48882,6
IRIDIUM 57,25273,U,98019B,26,71.37759644,5.01e-06,0.0,0.00016544000000000002,0,999,6,86.3971,32.7663,0.0002023,87.0875,273.0554,14.3612789,46327,3
IRIDIUM 63,25286,U,98021B,26,71.25907973,4.27e-06,0.0,0.00013813,0,999,3,86.4019,329.6709,0.000229,89.9004,270.2456,14.36827176,46233,1
IRIDIUM 69,25319,U,98026A,26,71.27637763,6.07e-06,0.0,0.00018154,0,999,7,86.4026,342.1019,0.0001845,159.045,201.0826,14.41324899,46167,8
IRIDIUM 71,25320,U,98026B,26,71.25745547,5.33e-06,0.0,0.00015853999999999998,0,999,9,86.402,336.7787,6.33e-05,10.018,350.1032,14.41409924,46220,3
IRIDIUM 73,25344,U,98032C,26,71.57096595,5.69e-06,0.0,0.00013543,0,999,1,86.4377,292.8206,0.0002386,104.505,255.6421,14.52125843,46950,2
IRIDIUM 82,25467,U,98051A,26,71.22271991,0.00083274,0.0,0.0010248,0,999,7,86.3593,335.7062,0.0046013,347.8659,12.1491,15.58641826,46527,0
IRIDIUM 106,41917,U,17003A,26,71.60562687,1.07e-06,0.0,3.1271e-05,0,999,5,86.3976,128.9435,0.0002131,106.7175,253.4255,14.3421717,47936,4
IRIDIUM 103,41918,U,17003B,26,71.52317363,1.76e-06,0.0,5.5784e-05,0,999,7,86.3976,128.8781,0.0001989,88.1452,271.9972,14.3421752,47937,0
IRIDIUM 109,41919,U,17003C,26,71.59928524,1.9e-07,0.0,-4.0869e-07,0,999,9,86.3974,128.9039,0.0002095,95.1208,265.0227,14.34217637,47935,6
IRIDIUM 102,41920,U,17003D,26,71.56757284,4.9e-07,0.0,1.0448e-05,0,999,1,86.3969,128.843,0.0002285,95.8855,264.2601,14.34217767,47943,2
IRIDIUM 105,41921,U,17003E,26,71.53296816,1.87e-06,0.0,5.9602e-05,0,999,6,86.3917,97.3031,0.0002215,92.0446,268.1004,14.34401787,48128,4
IRIDIUM 104,41922,U,17003F,26,71.58025846,-2.5e-07,0.0,-1.5972000000000002e-05,0,999,0,86.3977,128.8786,0.0002179,87.6145,272.53,14.34217235,47942,7
IRIDIUM 114,41923,U,17003G,26,71.58659824,2.37e-06,0.0,7.750899999999999e-05,0,999,7,86.3974,128.8596,0.0002132,90.5697,269.5743,14.34218632,47940,5
IRIDIUM 108,41924,U,17003H,26,71.54512069,4.2e-07,0.0,7.9354e-06,0,999,8,86.3913,97.1875,0.000237,94.5903,265.5563,14.34217186,48125,0
IRIDIUM 112,41925,U,17003J,26,71.57391537,1.23e-06,0.0,3.7003000000000005e-05,0,999,1,86.3972,128.7115,0.0002142,92.1467,267.9974,14.34217695,47942,3
IRIDIUM 111,41926,U,17003K,26,71.56122927,1e-07,0.0,-3.3592000000000004e-06,0,999,2,86.3971,128.7848,0.0001993,94.7857,265.3567,14.34217714,47940,0
IRIDIUM 113,42803,U,17039A,26,71.54119778,4.48e-06,0.0,0.00015309,0,999,2,86.403,2.5603,0.0002243,79.1942,280.9506,14.34207806,45733,6
IRIDIUM 123,42804,U,17039B,26,71.4431362,4.2e-07,0.0,7.899000000000002e-06,0,999,1,86.3979,34.0534,0.0002045,85.6114,274.5316,14.34217725,45608,4
IRIDIUM 120,42805,U,17039C,26,71.5348519,3.6e-07,0.0,5.839e-06,0,999,9,86.4017,2.3582,0.0002126,89.0707,271.0733,14.34217739,45732,4
IRIDIUM 115,42806,U,17039D,26,71.54071411,-2.86e-06,0.0,-9.0937e-05,0,999,9,86.4552,2.4704,0.0001811,89.7929,270.3479,14.4327831,46032,4
IRIDIUM 118,42807,U,17039E,26,71.40508078,2.92e-06,0.0,9.729500000000001e-05,0,999,8,86.3978,34.067,0.0002212,84.551,275.5939,14.34217793,45607,7
IRIDIUM 117,42808,U,17039F,26,71.42410766,-2e-06,0.0,-7.862800000000001e-05,0,999,7,86.3978,34.0181,0.0001933,85.1563,274.9853,14.34216986,45610,4
IRIDIUM 126,42809,U,17039G,26,71.44947862,-1e-06,0.0,-4.2699e-05,0,999,0,86.3978,34.0571,0.0002027,82.4321,277.7105,14.34217236,45608,2
IRIDIUM 124,42810,U,17039H,26,71.26682501,4.6e-06,0.0,0.00013073000000000002,0,999,8,86.4528,330.8999,0.0002067,85.0278,275.1159,14.43277017,46113,7
IRIDIUM 128,42811,U,17039J,26,71.50998497,4.1e-07,0.0,7.4701e-06,0,999,2,86.3915,65.5635,0.0002134,95.0687,265.0752,14.34217529,45612,8
IRIDIUM 121,42812,U,17039K,26,71.39873801,5e-07,0.0,1.0849e-05,0,999,3,86.3981,34.1047,0.0002236,88.6843,271.4609,14.34217853,45595,8
IRIDIUM 133,42955,U,17061A,26,71.54169781,8e-08,0.0,-4.0956e-06,0,999,5,86.3918,65.6661,0.0002062,90.1853,269.9579,14.34217526,44092,9
IRIDIUM 100,42956,U,17061B,26,71.46558659,4e-07,0.0,7.0637000000000015e-06,0,999,7,86.3917,65.6187,0.0002145,89.1383,271.0059,14.34217613,44091,3
IRIDIUM 122,42957,U,17061C,26,71.50364031,6.6e-07,0.0,1.6682e-05,0,999,9,86.3914,65.6024,0.0002065,87.9023,272.2409,14.34217648,44092,0
IRIDIUM 129,42958,U,17061D,26,71.52901265,3.7e-07,0.0,6.1791e-06,0,999,8,86.3917,65.658,0.0002424,83.0791,277.068,14.34217588,44094,8
IRIDIUM 119,42959,U,17061E,26,71.49729648,1.77e-06,0.0,5.629800000000001e-05,0,999,8,86.3916,65.6666,0.0002154,84.6516,275.4925,14.34219203,44095,6
IRIDIUM 107,42960,U,17061F,26,71.51632634,3.5e-07,0.0,5.344700000000001e-06,0,999,8,86.3917,65.6795,0.0001854,89.0764,271.0644,14.34217615,44096,8
